FPS, Ray Trace, Post Processing
26.3157,37562.8,60.416,
25.641,37838.6,59.36,
26.3157,35143.1,60.736,
25,38695.3,61.536,
27.7776,36018,59.52,
25.641,37795.1,61.44,
25.641,37938.2,62.048,
24.9997,38564.7,61.44,
24.3903,39937.3,59.552,
24.9997,39491.6,63.072,
22.7274,42899.3,61.44,
23.2557,41323.3,63.52,
26.3157,36901.4,60.064,
24.9994,38119.7,62.016,
25.6407,37891.6,61.44,
23.2557,41327.9,59.488,
25,36349.4,60.96,
23.8096,41926.5,61.12,
26.3157,34530.5,60.192,
22.2222,44413.6,59.776,
27.0272,33738.8,61.44,
30.303,29894.7,410.88,
